mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
flush,hit,193,289,783,1072,0,1
flush,miss,194,2730,11458,14188,60,1
flush,hit,194,267,565,832,0,1
flush,miss,195,2369,13111,15480,69,1
flush,hit,195,257,531,788,0,1
flush,miss,196,2183,10266,12449,53,1
flush,hit,196,256,542,798,0,1
flush,miss,197,2508,10879,13387,56,1
flush,hit,197,251,539,790,0,1
flush,miss,198,2294,16498,18792,52,1
flush,hit,198,338,829,1167,0,1
flush,miss,199,2563,11522,14085,60,1
flush,hit,199,266,651,917,0,1
flush,miss,200,2313,10809,13122,56,1
flush,hit,200,250,546,796,0,1
flush,miss,201,2410,9593,12003,49,1
flush,hit,201,253,549,802,0,1
flush,miss,202,2267,9473,11740,48,1
flush,hit,202,252,538,790,0,1
flush,miss,203,2507,15535,18042,50,1
flush,hit,203,250,538,788,0,1
flush,miss,204,2523,13978,16501,44,1
flush,hit,204,275,1642,1917,0,1
flush,miss,205,2466,10791,13257,56,1
flush,hit,205,263,538,801,0,1
flush,miss,206,2288,12627,14915,67,1
flush,hit,206,295,710,1005,0,1
flush,miss,207,2565,10843,13408,56,1
flush,hit,207,250,566,816,0,1
flush,miss,208,2278,10702,12980,56,1
flush,hit,208,249,533,782,0,1
flush,miss,209,2932,14734,17666,48,1
flush,hit,209,347,826,1173,0,1
flush,miss,210,2460,10806,13266,56,1
flush,hit,210,258,595,853,0,1
flush,miss,211,2501,13055,15556,69,1
flush,hit,211,260,527,787,0,1
flush,miss,212,2116,11918,14034,63,1
flush,hit,212,267,523,790,0,1
flush,miss,213,2508,10250,12758,53,1
flush,hit,213,264,538,802,0,1
flush,miss,214,2297,10083,12380,52,1
flush,hit,214,342,756,1098,0,1
flush,miss,215,2740,10714,13454,55,1
flush,hit,215,309,797,1106,0,1
flush,miss,216,2358,11220,13578,58,1
flush,hit,216,261,543,804,0,1
flush,miss,217,2380,11928,14308,63,1
flush,hit,217,251,519,770,0,1
flush,miss,218,2220,11010,13230,57,1
flush,hit,218,267,516,783,0,1
flush,miss,219,2490,10869,13359,56,1
flush,hit,219,251,525,776,0,1
flush,miss,220,2282,12917,15199,48,1
flush,hit,220,324,755,1079,0,1
flush,miss,221,2555,11124,13679,58,1
flush,hit,221,268,605,873,0,1
flush,miss,222,2323,10791,13114,56,1
flush,hit,222,252,508,760,0,1
flush,miss,223,2408,10785,13193,56,1
flush,hit,223,253,522,775,0,1
flush,miss,224,2305,10894,13199,57,1
flush,hit,224,446,682,1128,0,1
flush,miss,225,2491,15833,18324,51,1
flush,hit,225,262,563,825,0,1
flush,miss,226,2489,13683,16172,45,1
flush,hit,226,278,571,849,0,1
flush,miss,227,2474,10787,13261,56,1
flush,hit,227,262,549,811,0,1
flush,miss,228,2290,13798,16088,74,1
flush,hit,228,254,518,772,0,1
flush,miss,229,2476,9788,12264,50,1
flush,hit,229,251,529,780,0,1
flush,miss,230,2330,9484,11814,48,1
flush,hit,230,254,530,784,0,1
flush,miss,231,2772,14452,17224,53,1
flush,hit,231,328,766,1094,0,1
flush,miss,232,2546,10919,13465,56,1
flush,hit,232,269,576,845,0,1
flush,miss,233,2484,12964,15448,69,1
flush,hit,233,254,556,810,0,1
flush,miss,234,2191,12952,15143,69,1
flush,hit,234,260,519,779,0,1
flush,miss,235,2501,10955,13456,57,1
flush,hit,235,265,529,794,0,1
flush,miss,236,2307,10779,13086,56,1
flush,hit,236,340,777,1117,0,1
flush,miss,237,3158,10786,13944,55,1
flush,hit,237,376,871,1247,0,1
flush,miss,238,2398,10837,13235,56,1
flush,hit,238,382,536,918,0,1
flush,miss,239,2325,12152,14477,64,1
flush,hit,239,255,542,797,0,1
flush,miss,240,2238,9789,12027,50,1
flush,hit,240,252,523,775,0,1
flush,miss,241,2474,10106,12580,52,1
flush,hit,241,250,534,784,0,1
flush,miss,242,2310,14368,16678,46,1
flush,hit,242,331,805,1136,0,1
flush,miss,243,2555,10989,13544,57,1
flush,hit,243,266,580,846,0,1
flush,miss,244,2359,10958,13317,57,1
flush,hit,244,256,528,784,0,1
flush,miss,245,2358,10263,12621,53,1
flush,hit,245,255,525,780,0,1
flush,miss,246,2323,10331,12654,53,1
flush,hit,246,258,572,830,0,1
flush,miss,247,2536,12871,15407,43,1
flush,hit,247,248,591,839,0,1
flush,miss,248,2428,11863,14291,45,1
flush,hit,248,272,579,851,0,1
flush,miss,249,2507,10774,13281,56,1
flush,hit,249,250,544,794,0,1
flush,miss,250,2346,11763,14109,62,1
flush,hit,250,251,523,774,0,1
flush,miss,251,2537,10785,13322,56,1
flush,hit,251,249,523,772,0,1
flush,miss,252,2329,10194,12523,52,1
flush,hit,252,252,513,765,0,1
flush,miss,253,2804,12418,15222,42,1
flush,hit,253,319,771,1090,0,1
flush,miss,254,2391,10688,13079,55,1
flush,hit,254,255,551,806,0,1
flush,miss,255,2587,15321,17908,61,1
flush,hit,255,258,540,798,0,1
flush,miss,256,2573,13638,16211,73,1
flush,hit,256,266,549,815,0,1
flush,miss,257,2477,10816,13293,56,1
flush,hit,257,271,527,798,0,1
flush,miss,258,2319,10343,12662,53,1
flush,hit,258,341,805,1146,0,1
flush,miss,259,2834,10857,13691,56,1
flush,hit,259,339,820,1159,0,1
flush,miss,260,2317,11829,14146,62,1
flush,hit,260,260,543,803,0,1
flush,miss,261,2351,12120,14471,64,1
flush,hit,261,256,540,796,0,1
flush,miss,262,2197,9618,11815,49,1
flush,hit,262,253,528,781,0,1
flush,miss,263,2477,10127,12604,52,1
flush,hit,263,254,535,789,0,1
flush,miss,264,2293,15463,17756,49,1
flush,hit,264,323,808,1131,0,1
flush,miss,265,2544,11359,13903,59,1
flush,hit,265,264,590,854,0,1
flush,miss,266,2330,10768,13098,56,1
flush,hit,266,261,531,792,0,1
flush,miss,267,2380,9600,11980,49,1
flush,hit,267,264,536,800,0,1
flush,miss,268,2270,9782,12052,50,1
flush,hit,268,260,528,788,0,1
flush,miss,269,2552,16319,18871,51,1
flush,hit,269,265,649,914,0,1
flush,miss,270,2616,13706,16322,44,1
flush,hit,270,263,553,816,0,1
flush,miss,271,2493,10940,13433,57,1
flush,hit,271,251,536,787,0,1
