mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
dontcache,miss,230,2110,11233,13343,61,1
dontcache,hit,230,258,533,791,0,1
dontcache,miss,231,2454,10453,12907,56,1
dontcache,hit,231,256,542,798,0,1
dontcache,miss,232,2282,9929,12211,53,1
dontcache,hit,232,260,535,795,0,1
dontcache,miss,233,2510,11756,14266,64,1
dontcache,hit,233,271,531,802,0,1
dontcache,miss,234,2103,9617,11720,51,1
dontcache,hit,234,260,527,787,0,1
dontcache,miss,235,2293,10334,12627,55,1
dontcache,hit,235,256,544,800,0,1
dontcache,miss,236,2265,10601,12866,57,1
dontcache,hit,236,554,525,1079,0,1
dontcache,miss,237,3484,16047,19531,67,1
dontcache,hit,237,256,2093,2349,0,1
dontcache,miss,238,4204,11320,15524,59,1
dontcache,hit,238,451,1113,1564,0,1
dontcache,miss,239,4470,14485,18955,78,1
dontcache,hit,239,407,562,969,0,1
dontcache,miss,240,2669,12435,15104,65,1
dontcache,hit,240,258,540,798,0,1
dontcache,miss,241,2484,10907,13391,58,1
dontcache,hit,241,258,553,811,0,1
dontcache,miss,242,2299,11559,13858,58,1
dontcache,hit,242,368,1066,1434,0,1
dontcache,miss,243,4009,13389,17398,73,1
dontcache,hit,243,516,614,1130,0,1
dontcache,miss,244,3005,11553,14558,63,1
dontcache,hit,244,257,750,1007,0,1
dontcache,miss,245,3746,12898,16644,67,1
dontcache,hit,245,260,781,1041,0,1
dontcache,miss,246,2262,14606,16868,78,1
dontcache,hit,246,432,907,1339,0,1
dontcache,miss,247,3073,13510,16583,74,1
dontcache,hit,247,276,1305,1581,0,1
dontcache,miss,248,2614,12461,15075,66,1
dontcache,hit,248,258,554,812,0,1
dontcache,miss,249,2832,13170,16002,67,1
dontcache,hit,249,266,536,802,0,1
dontcache,miss,250,2378,16469,18847,84,1
dontcache,hit,250,259,538,797,0,1
dontcache,miss,251,2456,15320,17776,84,1
dontcache,hit,251,257,532,789,0,1
dontcache,miss,252,3168,18993,22161,107,1
dontcache,hit,252,256,1219,1475,0,1
dontcache,miss,253,2461,12106,14567,66,1
dontcache,hit,253,252,700,952,0,1
dontcache,miss,254,2932,11776,14708,64,1
dontcache,hit,254,255,521,776,0,1
dontcache,miss,255,3029,14825,17854,82,1
dontcache,hit,255,252,534,786,0,1
dontcache,miss,256,2512,14615,17127,79,1
dontcache,hit,256,255,522,777,0,1
dontcache,miss,257,2303,20778,23081,118,1
dontcache,hit,257,253,526,779,0,1
dontcache,miss,258,3206,12459,15665,42,1
dontcache,hit,258,325,787,1112,0,1
dontcache,miss,259,2759,12326,15085,66,1
dontcache,hit,259,258,590,848,0,1
dontcache,miss,260,2309,13931,16240,76,1
dontcache,hit,260,985,555,1540,0,1
dontcache,miss,261,2758,10939,13697,59,1
dontcache,hit,261,259,550,809,0,1
dontcache,miss,262,2221,12834,15055,71,1
dontcache,hit,262,264,556,820,0,1
dontcache,miss,263,2310,10790,13100,58,1
dontcache,hit,263,264,603,867,0,1
dontcache,miss,264,5999,11291,17290,56,1
dontcache,hit,264,261,617,878,0,1
dontcache,miss,265,2441,11238,13679,60,1
dontcache,hit,265,260,568,828,0,1
dontcache,miss,266,2609,12231,14840,65,1
dontcache,hit,266,261,546,807,0,1
dontcache,miss,267,3751,11053,14804,59,1
dontcache,hit,267,252,1214,1466,0,1
dontcache,miss,268,2701,13224,15925,73,1
dontcache,hit,268,255,534,789,0,1
dontcache,miss,269,2624,10472,13096,56,1
dontcache,hit,269,250,540,790,0,1
dontcache,miss,270,2666,11121,13787,60,1
dontcache,hit,270,265,543,808,0,1
dontcache,miss,271,2457,11232,13689,60,1
dontcache,hit,271,251,537,788,0,1
dontcache,miss,272,2608,14202,16810,77,1
dontcache,hit,272,260,551,811,0,1
dontcache,miss,273,3114,13967,17081,77,1
dontcache,hit,273,255,547,802,0,1
dontcache,miss,274,2092,11400,13492,62,1
dontcache,hit,274,309,599,908,0,1
dontcache,miss,275,2452,10342,12794,55,1
dontcache,hit,275,268,547,815,0,1
dontcache,miss,276,2370,11303,13673,58,1
dontcache,hit,276,260,536,796,0,1
dontcache,miss,277,2493,12636,15129,68,1
dontcache,hit,277,269,536,805,0,1
dontcache,miss,278,2153,13403,15556,74,1
dontcache,hit,278,260,527,787,0,1
dontcache,miss,279,2273,12292,14565,67,1
dontcache,hit,279,259,528,787,0,1
dontcache,miss,280,2241,13409,15650,73,1
dontcache,hit,280,262,529,791,0,1
dontcache,miss,281,3260,12288,15548,67,1
dontcache,hit,281,253,529,782,0,1
dontcache,miss,282,2508,13817,16325,76,1
dontcache,hit,282,257,524,781,0,1
dontcache,miss,283,2658,12636,15294,67,1
dontcache,hit,283,257,528,785,0,1
dontcache,miss,284,2298,11900,14198,64,1
