mode,kernel,interval_us,trial_id,event,prediction,flush_start_ns,flush_end_ns,event_start_ns,monitor_start_ns,cleanup_end_ns,baseline_check_start_ns,baseline_check_end_ns,baseline_cached,cleanup_cached,attacker_error,victim_error,validator_error
dontcache,7.2.0-flushmon,800,144,1,1,390854730103,390854736514,390856690155,390857615652,390857694808,390855704506,390855720917,0,0,0,0,0
dontcache,7.2.0-flushmon,800,145,0,0,390860264719,390860268797,390861983651,390862783791,390863314700,390860982403,390860993277,0,0,0,0,0
dontcache,7.2.0-flushmon,800,146,1,1,390865716369,390865720639,390867690893,390868621414,390868700025,390866690919,390866700622,0,0,0,0,0
dontcache,7.2.0-flushmon,800,147,0,0,390871025130,390871029642,390872976781,390873771327,390874476903,390871971759,390871985039,0,0,0,0,0
dontcache,7.2.0-flushmon,800,148,0,0,390877105985,390877112411,390878948660,390879744445,390880347358,390877943379,390877958729,0,0,0,0,0
dontcache,7.2.0-flushmon,800,149,0,0,390883028874,390883033134,390884844440,390885647689,390886208881,390883837371,390883849416,0,0,0,0,0
dontcache,7.2.0-flushmon,800,150,1,1,390888889901,390888895411,390890744347,390891756826,390891845954,390889736510,390889749878,0,0,0,0,0
dontcache,7.2.0-flushmon,800,151,1,1,390894243135,390894247538,390896154013,390896993988,390897090006,390895318782,390895330404,0,0,0,0,0
dontcache,7.2.0-flushmon,800,152,1,1,390899571452,390899575382,390901545434,390902316319,390902471356,390900543278,390900552817,0,0,0,0,0
dontcache,7.2.0-flushmon,800,153,1,1,390904775956,390904780471,390906734396,390907561062,390907641397,390905739266,390905749709,0,0,0,0,0
dontcache,7.2.0-flushmon,800,154,1,1,390909874285,390909875173,390911880666,390912664723,390912712193,390910871298,390910873166,0,0,0,0,0
dontcache,7.2.0-flushmon,800,155,1,1,390915039674,390915043149,390916938963,390917765126,390917818786,390916039895,390916049085,0,0,0,0,0
dontcache,7.2.0-flushmon,800,156,1,1,390920174111,390920178389,390922082391,390922833696,390922920170,390921168610,390921182043,0,0,0,0,0
dontcache,7.2.0-flushmon,800,157,1,1,390925223755,390925227095,390927174814,390927974179,390928046096,390926165134,390926174456,0,0,0,0,0
dontcache,7.2.0-flushmon,800,158,1,1,390930345512,390930350740,390932295612,390933091916,390933247692,390931327217,390931342101,0,0,0,0,0
dontcache,7.2.0-flushmon,800,159,1,1,390935668184,390935679564,390937541863,390938417209,390938712988,390936525941,390936549596,0,0,0,0,0
dontcache,7.2.0-flushmon,800,160,0,0,390941166153,390941172213,390943100500,390943950301,390944681631,390942224847,390942236340,0,0,0,0,0
dontcache,7.2.0-flushmon,800,161,1,1,390947219144,390947223737,390949183871,390949976599,390950123762,390948190559,390948201266,0,0,0,0,0
dontcache,7.2.0-flushmon,800,162,0,0,390952494083,390952498355,390954489221,390955272918,390955841703,390953478775,390953489373,0,0,0,0,0
dontcache,7.2.0-flushmon,800,163,1,1,390958745762,390958750754,390960616788,390961381515,390961542239,390959601332,390959614711,0,0,0,0,0
dontcache,7.2.0-flushmon,800,164,0,0,390963866445,390963867607,390965861089,390966669044,390967182612,390964862001,390964866696,0,0,0,0,0
dontcache,7.2.0-flushmon,800,165,1,1,390969788301,390969792194,390971691535,390972457625,390972669905,390970681403,390970693518,0,0,0,0,0
dontcache,7.2.0-flushmon,800,166,1,1,390975091848,390975096750,390976985238,390977751796,390977807228,390975966389,390975978429,0,0,0,0,0
