mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
reference,hit,362,286,513,799,0,1
reference,miss,363,220,18,238,0,1
reference,hit,363,286,508,794,0,1
reference,miss,364,206,17,223,0,1
reference,hit,364,287,511,798,0,1
reference,miss,365,220,18,238,0,1
reference,hit,365,288,503,791,0,1
reference,miss,366,203,18,221,0,1
reference,hit,366,288,527,815,0,1
reference,miss,367,221,18,239,0,1
reference,hit,367,283,505,788,0,1
reference,miss,368,202,18,220,0,1
reference,hit,368,281,521,802,0,1
reference,miss,369,219,18,237,0,1
reference,hit,369,277,507,784,0,1
reference,miss,370,204,18,222,0,1
reference,hit,370,286,501,787,0,1
reference,miss,371,220,18,238,0,1
reference,hit,371,284,500,784,0,1
reference,miss,372,205,19,224,0,1
reference,hit,372,286,508,794,0,1
reference,miss,373,220,18,238,0,1
reference,hit,373,286,501,787,0,1
reference,miss,374,206,17,223,0,1
reference,hit,374,288,501,789,0,1
reference,miss,375,220,18,238,0,1
reference,hit,375,278,569,847,0,1
reference,miss,376,204,18,222,0,1
reference,hit,376,280,568,848,0,1
reference,miss,377,219,19,238,0,1
reference,hit,377,281,518,799,0,1
reference,miss,378,207,18,225,0,1
reference,hit,378,271,530,801,0,1
reference,miss,379,218,18,236,0,1
reference,hit,379,282,514,796,0,1
reference,miss,380,202,18,220,0,1
reference,hit,380,287,499,786,0,1
reference,miss,381,218,18,236,0,1
reference,hit,381,286,518,804,0,1
